0,1,2,3,4,intervalMin,intervalMax,midinterval
625 - 625,1122,1.90,1122,1.90,625,625,625
610 - 624,1017,1.80,2139,3.70,610,624,617
600 - 609,1066,1.80,3205,5.50,600,609,604
590 - 599,390,0.70,3595,6.20,590,599,594
580 - 589,766,1.30,4361,7.50,580,589,584
570 - 579,1230,2.10,5591,9.60,570,579,574
560 - 569,1296,2.20,6887,11.90,560,569,564
550 - 559,1361,2.30,8248,14.20,550,559,554
540 - 549,1485,2.60,9733,16.80,540,549,544
530 - 539,1374,2.40,11107,19.10,530,539,534
520 - 529,1366,2.40,12473,21.50,520,529,524
510 - 519,960,1.70,13433,23.10,510,519,514
500 - 509,1125,1.90,14558,25.10,500,509,504
490 - 499,1424,2.50,15982,27.50,490,499,494
480 - 489,1596,2.70,17578,30.30,480,489,484
470 - 479,1621,2.80,19199,33.10,470,479,474
460 - 469,1685,2.90,20884,36.00,460,469,464
450 - 459,1682,2.90,22566,38.90,450,459,454
440 - 449,1665,2.90,24231,41.70,440,449,444
430 - 439,1482,2.60,25713,44.30,430,439,434
420 - 429,1406,2.40,27119,46.70,420,429,424
410 - 419,1340,2.30,28459,49.00,410,419,414
400 - 409,1466,2.50,29925,51.50,400,409,404
390 - 399,1485,2.60,31410,54.10,390,399,394
380 - 389,1528,2.60,32938,56.70,380,389,384
370 - 379,1347,2.30,34285,59.10,370,379,374
360 - 369,1459,2.50,35744,61.60,360,369,364
350 - 359,1383,2.40,37127,64.00,350,359,354
340 - 349,1380,2.40,38507,66.30,340,349,344
330 - 339,1306,2.20,39813,68.60,330,339,334
320 - 329,1347,2.30,41160,70.90,320,329,324
310 - 319,1235,2.10,42395,73.00,310,319,314
300 - 309,1197,2.10,43592,75.10,300,309,304
290 - 299,1123,1.90,44715,77.00,290,299,294
280 - 289,1070,1.80,45785,78.90,280,289,284
270 - 279,1015,1.70,46800,80.60,270,279,274
260 - 269,952,1.60,47752,82.30,260,269,264
250 - 259,842,1.50,48594,83.70,250,259,254
240 - 249,811,1.40,49405,85.10,240,249,244
230 - 239,711,1.20,50116,86.30,230,239,234
220 - 229,682,1.20,50798,87.50,220,229,224
210 - 219,654,1.10,51452,88.60,210,219,214
200 - 209,606,1.00,52058,89.70,200,209,204
190 - 199,576,1.00,52634,90.70,190,199,194
180 - 189,550,0.90,53184,91.60,180,189,184
170 - 179,531,0.90,53715,92.50,170,179,174
160 - 169,454,0.80,54169,93.30,160,169,164
150 - 159,391,0.70,54560,94.00,150,159,154
140 - 149,372,0.60,54932,94.60,140,149,144
130 - 139,342,0.60,55274,95.20,130,139,134
120 - 129,312,0.50,55586,95.70,120,129,124
110 - 119,268,0.50,55854,96.20,110,119,114
100 - 109,287,0.50,56141,96.70,100,109,104
000 - 099,1915,3.30,58056,100.00,0,99,49
