Candidates scoring between 625 - 625 points,"1,122",1.90%,"1,122",1.90%
Candidates scoring between 610 - 624 points,"1,017",1.80%,"2,139",3.70%
Candidates scoring between 600 - 609 points,"1,066",1.80%,"3,205",5.50%
Candidates scoring between 590 - 599 points,390,0.70%,"3,595",6.20%
Candidates scoring between 580 - 589 points,766,1.30%,"4,361",7.50%
Candidates scoring between 570 - 579 points,"1,230",2.10%,"5,591",9.60%
Candidates scoring between 560 - 569 points,"1,296",2.20%,"6,887",11.90%
Candidates scoring between 550 - 559 points,"1,361",2.30%,"8,248",14.20%
Candidates scoring between 540 - 549 points,"1,485",2.60%,"9,733",16.80%
Candidates scoring between 530 - 539 points,"1,374",2.40%,"11,107",19.10%
Candidates scoring between 520 - 529 points,"1,366",2.40%,"12,473",21.50%
Candidates scoring between 510 - 519 points,960,1.70%,"13,433",23.10%
Candidates scoring between 500 - 509 points,"1,125",1.90%,"14,558",25.10%
Candidates scoring between 490 - 499 points,"1,424",2.50%,"15,982",27.50%
Candidates scoring between 480 - 489 points,"1,596",2.70%,"17,578",30.30%
Candidates scoring between 470 - 479 points,"1,621",2.80%,"19,199",33.10%
Candidates scoring between 460 - 469 points,"1,685",2.90%,"20,884",36.00%
Candidates scoring between 450 - 459 points,"1,682",2.90%,"22,566",38.90%
Candidates scoring between 440 - 449 points,"1,665",2.90%,"24,231",41.70%
Candidates scoring between 430 - 439 points,"1,482",2.60%,"25,713",44.30%
Candidates scoring between 420 - 429 points,"1,406",2.40%,"27,119",46.70%
Candidates scoring between 410 - 419 points,"1,340",2.30%,"28,459",49.00%
Candidates scoring between 400 - 409 points,"1,466",2.50%,"29,925",51.50%
Candidates scoring between 390 - 399 points,"1,485",2.60%,"31,410",54.10%
Candidates scoring between 380 - 389 points,"1,528",2.60%,"32,938",56.70%
Candidates scoring between 370 - 379 points,"1,347",2.30%,"34,285",59.10%
Candidates scoring between 360 - 369 points,"1,459",2.50%,"35,744",61.60%
Candidates scoring between 350 - 359 points,"1,383",2.40%,"37,127",64.00%
Candidates scoring between 340 - 349 points,"1,380",2.40%,"38,507",66.30%
Candidates scoring between 330 - 339 points,"1,306",2.20%,"39,813",68.60%
Candidates scoring between 320 - 329 points,"1,347",2.30%,"41,160",70.90%
Candidates scoring between 310 - 319 points,"1,235",2.10%,"42,395",73.00%
Candidates scoring between 300 - 309 points,"1,197",2.10%,"43,592",75.10%
Candidates scoring between 290 - 299 points,"1,123",1.90%,"44,715",77.00%
Candidates scoring between 280 - 289 points,"1,070",1.80%,"45,785",78.90%
Candidates scoring between 270 - 279 points,"1,015",1.70%,"46,800",80.60%
Candidates scoring between 260 - 269 points,952,1.60%,"47,752",82.30%
Candidates scoring between 250 - 259 points,842,1.50%,"48,594",83.70%
Candidates scoring between 240 - 249 points,811,1.40%,"49,405",85.10%
Candidates scoring between 230 - 239 points,711,1.20%,"50,116",86.30%
Candidates scoring between 220 - 229 points,682,1.20%,"50,798",87.50%
Candidates scoring between 210 - 219 points,654,1.10%,"51,452",88.60%
Candidates scoring between 200 - 209 points,606,1.00%,"52,058",89.70%
Candidates scoring between 190 - 199 points,576,1.00%,"52,634",90.70%
Candidates scoring between 180 - 189 points,550,0.90%,"53,184",91.60%
Candidates scoring between 170 - 179 points,531,0.90%,"53,715",92.50%
Candidates scoring between 160 - 169 points,454,0.80%,"54,169",93.30%
Candidates scoring between 150 - 159 points,391,0.70%,"54,560",94.00%
Candidates scoring between 140 - 149 points,372,0.60%,"54,932",94.60%
Candidates scoring between 130 - 139 points,342,0.60%,"55,274",95.20%
Candidates scoring between 120 - 129 points,312,0.50%,"55,586",95.70%
Candidates scoring between 110 - 119 points,268,0.50%,"55,854",96.20%
Candidates scoring between 100 - 109 points,287,0.50%,"56,141",96.70%
Candidates scoring between 000 - 099 points,"1,915",3.30%,"58,056",100.00%
